lesson_unit_id,lesson_title,lesson_order,locale,keep_status
FCN-LSN-0001,Nāhuatlahtolli – A Beginner to Advanced Level Nahuatl Online Course,1,other,drop_nonlesson
FCN-LSN-0002,Nāhuatlahtolli – A Beginner to Advanced Level Nahuatl Online Course,2,other,drop_nonlesson
FCN-LSN-0003,Nāhuatlahtolli – Un curso de nahuatl en línea de nivel básico a avanzado,3,es,drop_nonlesson
FCN-LSN-0004,Language,4,en,drop_nonlesson
FCN-LSN-0005,Funding,5,en,drop_nonlesson
FCN-LSN-0006,Team,6,en,drop_nonlesson
FCN-LSN-0007,Resources,7,en,drop_nonlesson
FCN-LSN-0008,Units,8,en,drop_nonlesson
FCN-LSN-0009,Introduction,9,en,drop_nonlesson
FCN-LSN-0015,Contact,15,en,drop_nonlesson
FCN-LSN-0043,Nāhuatlahtolli – A Beginner to Advanced Level Nahuatl Online Course,43,other,drop_nonlesson
FCN-LSN-0044,Nāhuatlahtolli – Un curso de nahuatl en línea de nivel básico a avanzado,44,es,drop_nonlesson
FCN-LSN-0045,Idioma,45,es,drop_nonlesson
FCN-LSN-0046,Fondos,46,es,drop_nonlesson
FCN-LSN-0047,Equipo,47,es,drop_nonlesson
FCN-LSN-0048,Recursos,48,es,drop_nonlesson
FCN-LSN-0049,Unidades,49,es,drop_nonlesson
FCN-LSN-0050,Introducción,50,es,drop_nonlesson
FCN-LSN-0056,Contacto,56,es,drop_nonlesson
FCN-LSN-0084,Language,84,en,drop_nonlesson
FCN-LSN-0085,Funding,85,en,drop_nonlesson
FCN-LSN-0086,Team,86,en,drop_nonlesson
FCN-LSN-0087,Resources,87,en,drop_nonlesson
FCN-LSN-0088,Units,88,en,drop_nonlesson
FCN-LSN-0089,Introduction,89,en,drop_nonlesson
FCN-LSN-0097,Contact,97,en,drop_nonlesson
