sample_id,lesson_number,lesson_unit_id,lesson_title,dialogue_order,speaker_label,utterance_original,utterance_normalized,translation_en,communicative_function
FCN-DS-02-01,2,FCN-LSN-0011,Tlamachtiliztli 2 Tlahtlaniliztli (Questions).,1,A,"Hello, good day teacher.","Hello, good day teacher.",,Tlamachtiliztli 2 Tlahtlaniliztli (Questions).
FCN-DS-02-02,2,FCN-LSN-0011,Tlamachtiliztli 2 Tlahtlaniliztli (Questions).,1,B,"Hello, good day student.","Hello, good day student.",,Tlamachtiliztli 2 Tlahtlaniliztli (Questions).
FCN-DS-03-01,3,FCN-LSN-0012,Tlamachtiliztli 3 ¿Quēniuhqui motōcah? (What is your name?),1,A,"Piyalli, ¿quēniuhqui motōcah?","Piyalli, ¿quēniuhqui motōcah?",,Tlamachtiliztli 3 ¿Quēniuhqui motōcah? (What is your name?)
FCN-DS-03-02,3,FCN-LSN-0012,Tlamachtiliztli 3 ¿Quēniuhqui motōcah? (What is your name?),1,B,"Piyalli, na notōcah Paty.","Piyalli, na notōcah Paty.",,Tlamachtiliztli 3 ¿Quēniuhqui motōcah? (What is your name?)
FCN-DS-04-01,4,FCN-LSN-0013,Tlamachtiliztli 4 Īxnēzcayotl huan tlapōhualiztli (Colors and Numbers),1,Note,Images in this lesson are CC BY Sabina and Catalina Cruz,Images in this lesson are CC BY Sabina and Catalina Cruz,,Tlamachtiliztli 4 Īxnēzcayotl huan tlapōhualiztli (Colors and Numbers)
FCN-DS-04-02,4,FCN-LSN-0013,Tlamachtiliztli 4 Īxnēzcayotl huan tlapōhualiztli (Colors and Numbers),1,Tlapōhualiztli,"mahtlactli huan cē — cēmpohualli (The names of the numbers, 11-20)","mahtlactli huan cē — cēmpohualli (The names of the numbers, 11-20)",,Tlamachtiliztli 4 Īxnēzcayotl huan tlapōhualiztli (Colors and Numbers)
FCN-DS-05-01,5,FCN-LSN-0014,Tlamachtiliztli 5 Cehcen inintequiuh (The Professions),1,A,"Piyali Catalina, ¿tlen titequiti ta?","Piyali Catalina, ¿tlen titequiti ta?",,Tlamachtiliztli 5 Cehcen inintequiuh (The Professions)
FCN-DS-05-02,5,FCN-LSN-0014,Tlamachtiliztli 5 Cehcen inintequiuh (The Professions),1,B,Nitlamachtia nāhuatl.,Nitlamachtia nāhuatl.,,Tlamachtiliztli 5 Cehcen inintequiuh (The Professions)
FCN-DS-10-01,10,FCN-LSN-0020,Tlamachtiliztli 10 Notlachiyaliz (My Appearance),1,Note,Images used in this lesson were created by the following people:,Images used in this lesson were created by the following people:,,Tlamachtiliztli 10 Notlachiyaliz (My Appearance)
FCN-DS-10-02,10,FCN-LSN-0020,Tlamachtiliztli 10 Notlachiyaliz (My Appearance),1,Tequitl ce,Xiquiihtoa cehcen īīxnēzca (Activity One: Say the appearance of each one),Xiquiihtoa cehcen īīxnēzca (Activity One: Say the appearance of each one),,Tlamachtiliztli 10 Notlachiyaliz (My Appearance)
FCN-DS-11-01,11,FCN-LSN-0021,Tlamachtiliztli 11 Quēmman motlahpaloa huan monāhuatihtēhua (When you greet and say farewell),1,B,"Aah (they greet each other), ¿tipaxaloti?","Aah (they greet each other), ¿tipaxaloti?",,Tlamachtiliztli 11 Quēmman motlahpaloa huan monāhuatihtēhua (When you greet and say farewell)
FCN-DS-11-02,11,FCN-LSN-0021,Tlamachtiliztli 11 Quēmman motlahpaloa huan monāhuatihtēhua (When you greet and say farewell),1,A,"Quēna, niquittati noichpōcauh.","Quēna, niquittati noichpōcauh.",,Tlamachtiliztli 11 Quēmman motlahpaloa huan monāhuatihtēhua (When you greet and say farewell)
FCN-DS-17-01,17,FCN-LSN-0027,Tlamachtiliztli 17 Na nimocehuia pan cuaciyah (I Sit in the Chair),1,Tequitl Cē (Activity One),Match the following words with the appropriate images.,Match the following words with the appropriate images.,,Tlamachtiliztli 17 Na nimocehuia pan cuaciyah (I Sit in the Chair)
FCN-DS-17-02,17,FCN-LSN-0027,Tlamachtiliztli 17 Na nimocehuia pan cuaciyah (I Sit in the Chair),1,Tequitl Ōme (Activity Two),Make two reflexive sentences for each of the following verbs.,Make two reflexive sentences for each of the following verbs.,,Tlamachtiliztli 17 Na nimocehuia pan cuaciyah (I Sit in the Chair)
FCN-DS-18-01,18,FCN-LSN-0028,Tlamachtiliztli 18 Tlen nicāmati huan tlen ax nicāmati (What I Like and Do Not Like),1,Note,The images in this lesson were created by the following people:,The images in this lesson were created by the following people:,,Tlamachtiliztli 18 Tlen nicāmati huan tlen ax nicāmati (What I Like and Do Not Like)
FCN-DS-18-02,18,FCN-LSN-0028,Tlamachtiliztli 18 Tlen nicāmati huan tlen ax nicāmati (What I Like and Do Not Like),1,Tequtil cē (Work one),Write a paragraph saying what you like and do not like to eat using the words we learned in this lesson.,Write a paragraph saying what you like and do not like to eat using the words we learned in this lesson.,,Tlamachtiliztli 18 Tlen nicāmati huan tlen ax nicāmati (What I Like and Do Not Like)
FCN-DS-19-01,19,FCN-LSN-0029,Tlamachtiliztli 19 Ximoquētza (Stand Up!),1,Note,The images in this lesson were created by the following people:,The images in this lesson were created by the following people:,,Tlamachtiliztli 19 Ximoquētza (Stand Up!)
FCN-DS-19-02,19,FCN-LSN-0029,Tlamachtiliztli 19 Ximoquētza (Stand Up!),1,Martha huan Angela,Piyali.,Piyali.,,Tlamachtiliztli 19 Ximoquētza (Stand Up!)
FCN-DS-20-01,20,FCN-LSN-0030,Tlamachtiliztli 20 Tlahtoltēcpānalitzli -pil huan -tzin (The Grammar of -pil and -tzin),1,Tequitl cē (Activity One),Write five sentences with words that have “pil-” and “-tzin”,Write five sentences with words that have “pil-” and “-tzin”,,Tlamachtiliztli 20 Tlahtoltēcpānalitzli -pil huan -tzin (The Grammar of -pil and -tzin)
FCN-DS-20-02,20,FCN-LSN-0030,Tlamachtiliztli 20 Tlahtoltēcpānalitzli -pil huan -tzin (The Grammar of -pil and -tzin),1,Tequitl ōme (Activity Two),Translate the following sentences into Nahuatl.,Translate the following sentences into Nahuatl.,,Tlamachtiliztli 20 Tlahtoltēcpānalitzli -pil huan -tzin (The Grammar of -pil and -tzin)
FCN-DS-21-01,21,FCN-LSN-0031,Tlamachtiliztli 21 Tlen ticpiyah pan millah (What We Have in the Field),1,Note,Images in this lesson were created by the following people:,Images in this lesson were created by the following people:,,Tlamachtiliztli 21 Tlen ticpiyah pan millah (What We Have in the Field)
FCN-DS-21-02,21,FCN-LSN-0031,Tlamachtiliztli 21 Tlen ticpiyah pan millah (What We Have in the Field),1,Oncah ome tlamantli pilcintzin,pilpetlayoh huan pilmolcatzin.,pilpetlayoh huan pilmolcatzin.,,Tlamachtiliztli 21 Tlen ticpiyah pan millah (What We Have in the Field)
FCN-DS-22-01,22,FCN-LSN-0032,Tlamachtiliztli 22 Tomīllah huah totlacualiz (Our Cornfield and Our Food),1,Note,Images used in this lesson were created by the following people:,Images used in this lesson were created by the following people:,,Tlamachtiliztli 22 Tomīllah huah totlacualiz (Our Cornfield and Our Food)
FCN-DS-22-02,22,FCN-LSN-0032,Tlamachtiliztli 22 Tomīllah huah totlacualiz (Our Cornfield and Our Food),1,Tequitl ce (Activity One),Respond to the clues about the tools that are used in the cornfield,Respond to the clues about the tools that are used in the cornfield,,Tlamachtiliztli 22 Tomīllah huah totlacualiz (Our Cornfield and Our Food)
FCN-DS-23-01,23,FCN-LSN-0033,Tlamachtiliztli 23 Tlen eltoc calihtic (What is Inside the House),1,Tequitl cē (Activity One),"Describe what things and people are near you, using the relational words.","Describe what things and people are near you, using the relational words.",,Tlamachtiliztli 23 Tlen eltoc calihtic (What is Inside the House)
FCN-DS-23-02,23,FCN-LSN-0033,Tlamachtiliztli 23 Tlen eltoc calihtic (What is Inside the House),1,Tequitl ēyi (Activity Three),Write what is in your house using relational words and the vocabulary we have seen thus far.,Write what is in your house using relational words and the vocabulary we have seen thus far.,,Tlamachtiliztli 23 Tlen eltoc calihtic (What is Inside the House)
FCN-DS-24-01,24,FCN-LSN-0034,"Tlamachtiliztli 24 Niihhuia pan āltepētl, Part 1 (I Had Gone to the City Part 1)",1,Tequitl cē (Activity One),Write 5 sentences with of the verbs in whichever tense you would like,Write 5 sentences with of the verbs in whichever tense you would like,,"Tlamachtiliztli 24 Niihhuia pan āltepētl, Part 1 (I Had Gone to the City Part 1)"
FCN-DS-25-01,25,FCN-LSN-0035,Tlamachtiliztli 25 Niihhuia pan altepētl Part 2 (I Had Gone to the City Part 2),1,Tequitl cē (Activity One),Write 5 sentences with these new verbs in whichever tense you would like,Write 5 sentences with these new verbs in whichever tense you would like,,Tlamachtiliztli 25 Niihhuia pan altepētl Part 2 (I Had Gone to the City Part 2)
FCN-DS-26-01,26,FCN-LSN-0036,Tlamachtiliztli 26 Niquicōhuaco cē tlaxcalyoyomitl (I Came to Buy a Tortilla Napkin),1,Tequitl ce (Activity one),Make sentences with the following verbs,Make sentences with the following verbs,,Tlamachtiliztli 26 Niquicōhuaco cē tlaxcalyoyomitl (I Came to Buy a Tortilla Napkin)
FCN-DS-27-01,27,FCN-LSN-0037,Tlamachtiliztli 27 Namantzin eltoc tiānquiz (It’s market day today!),1,Tequitl ēyi (Activity Three),Write a dialogue on your purchases at the market.,Write a dialogue on your purchases at the market.,,Tlamachtiliztli 27 Namantzin eltoc tiānquiz (It’s market day today!)
FCN-DS-28-01,28,FCN-LSN-0038,Tlamachtiliztli 28 Nipanoyaya mochān (I Was Passing By Your House),1,Tequitl cē (Activity One),Conjugate four verbs in different classes in the imperfect tense.,Conjugate four verbs in different classes in the imperfect tense.,,Tlamachtiliztli 28 Nipanoyaya mochān (I Was Passing By Your House)
FCN-DS-28-02,28,FCN-LSN-0038,Tlamachtiliztli 28 Nipanoyaya mochān (I Was Passing By Your House),1,Tequitl ōme (Activity Two),Write four sentences with the verbs from work one in the imperfect tense.,Write four sentences with the verbs from work one in the imperfect tense.,,Tlamachtiliztli 28 Nipanoyaya mochān (I Was Passing By Your House)
FCN-DS-29-01,29,FCN-LSN-0039,Tlamachtiliztli 29 ¿Tlen cocōliztli tiquixmati? (What Illnesses Do You Know?),1,Tequitl cē (Activity One),Do a drawing of the following illnesses,Do a drawing of the following illnesses,,Tlamachtiliztli 29 ¿Tlen cocōliztli tiquixmati? (What Illnesses Do You Know?)
FCN-DS-29-02,29,FCN-LSN-0039,Tlamachtiliztli 29 ¿Tlen cocōliztli tiquixmati? (What Illnesses Do You Know?),1,Tequitl ōme (Activity One),What illness best fits each sentence?,What illness best fits each sentence?,,Tlamachtiliztli 29 ¿Tlen cocōliztli tiquixmati? (What Illnesses Do You Know?)
FCN-DS-31-01,31,FCN-LSN-0041,"Tlamachtiliztli 31 Tlacotōntli huan tlaochpanāliztli: Cleansing ceremonies, the conditional. Part 2)",1,Tēpahtihquetl quiihtoā,"“nicān nēci mitzcocōliah, moxīcoah cequinoqueh pampa ta axtlen mitzpoloā, ticpiya tequitl, ticpiya cualli tequitl, axcanah tiquincāhua motatahhuan in incelti, eli tiquinpalehuia īcā cē quēntzin tlaxtlahuilli, cualli tiitztoc, ahachica tihuāllauh tiquinpaxaloā motatahhuan.","“nicān nēci mitzcocōliah, moxīcoah cequinoqueh pampa ta axtlen mitzpoloā, ticpiya tequitl, ticpiya cualli tequitl, axcanah tiquincāhua motatahhuan in incelti, eli tiquinpalehuia īcā cē quēntzin tlaxtlahuilli, cualli tiitztoc, ahachica tihuāllauh tiquinpaxaloā motatahhuan.",,"Tlamachtiliztli 31 Tlacotōntli huan tlaochpanāliztli: Cleansing ceremonies, the conditional. Part 2)"
FCN-DS-31-02,31,FCN-LSN-0041,"Tlamachtiliztli 31 Tlacotōntli huan tlaochpanāliztli: Cleansing ceremonies, the conditional. Part 2)",1,Pan ni tlaochpāntli motequihuia,"cuaxīlōtl īcuayo huan nehpalli, quitehtequi ciltic huan quiāmaneloā īcā ātl huan quēuhquinon quicāhuah ma elto pampa ni motequihuia quēmman nochi tlamiya quichīhua ītequiuh.","cuaxīlōtl īcuayo huan nehpalli, quitehtequi ciltic huan quiāmaneloā īcā ātl huan quēuhquinon quicāhuah ma elto pampa ni motequihuia quēmman nochi tlamiya quichīhua ītequiuh.",,"Tlamachtiliztli 31 Tlacotōntli huan tlaochpanāliztli: Cleansing ceremonies, the conditional. Part 2)"
