lesson_number,unit_title,proficiency_band,objective,pacing_note,answer_key_note
1,The Alphabet,A1,Teach the core communicative objective of Unit 1.,Single-session or double-session depending on dialogue density.,See assessment/review bundle for scaffolded keys.
2,Questions,A1,Teach the core communicative objective of Unit 2.,Single-session or double-session depending on dialogue density.,See assessment/review bundle for scaffolded keys.
3,What is your name?,A1,Teach the core communicative objective of Unit 3.,Single-session or double-session depending on dialogue density.,See assessment/review bundle for scaffolded keys.
4,Colors and Numbers,A2,Teach the core communicative objective of Unit 4.,Single-session or double-session depending on dialogue density.,See assessment/review bundle for scaffolded keys.
5,The Professions,A2,Teach the core communicative objective of Unit 5.,Single-session or double-session depending on dialogue density.,See assessment/review bundle for scaffolded keys.
6,Intransitive Verbs,B1,Teach the core communicative objective of Unit 6.,Single-session or double-session depending on dialogue density.,See assessment/review bundle for scaffolded keys.
7,How to divide up the day,B1,Teach the core communicative objective of Unit 7.,Single-session or double-session depending on dialogue density.,See assessment/review bundle for scaffolded keys.
8,Possessive markers,B1,Teach the core communicative objective of Unit 8.,Single-session or double-session depending on dialogue density.,See assessment/review bundle for scaffolded keys.
9,The Family,B1,Teach the core communicative objective of Unit 9.,Single-session or double-session depending on dialogue density.,See assessment/review bundle for scaffolded keys.
10,My Appearance,B1,Teach the core communicative objective of Unit 10.,Single-session or double-session depending on dialogue density.,See assessment/review bundle for scaffolded keys.
11,When you greet and say farewell,A1,Teach the core communicative objective of Unit 11.,Single-session or double-session depending on dialogue density.,See assessment/review bundle for scaffolded keys.
12,Future tense and indefinite verbs,A1,Teach the core communicative objective of Unit 12.,Single-session or double-session depending on dialogue density.,See assessment/review bundle for scaffolded keys.
13,Verbs with specific object,A1,Teach the core communicative objective of Unit 13.,Single-session or double-session depending on dialogue density.,See assessment/review bundle for scaffolded keys.
14,Past Tense Verbs Part 1,A2,Teach the core communicative objective of Unit 14.,Single-session or double-session depending on dialogue density.,See assessment/review bundle for scaffolded keys.
15,Past Tense Verbs Part 2,A2,Teach the core communicative objective of Unit 15.,Single-session or double-session depending on dialogue density.,See assessment/review bundle for scaffolded keys.
16,Past Tense Verbs Part 3,B1,Teach the core communicative objective of Unit 16.,Single-session or double-session depending on dialogue density.,See assessment/review bundle for scaffolded keys.
17,I Sit in the Chair,B1,Teach the core communicative objective of Unit 17.,Single-session or double-session depending on dialogue density.,See assessment/review bundle for scaffolded keys.
18,What I Like and Do Not Like,B1,Teach the core communicative objective of Unit 18.,Single-session or double-session depending on dialogue density.,See assessment/review bundle for scaffolded keys.
19,Stand Up!,B1,Teach the core communicative objective of Unit 19.,Single-session or double-session depending on dialogue density.,See assessment/review bundle for scaffolded keys.
20,The Grammar of -pil and -tzin,A1,Teach the core communicative objective of Unit 20.,Single-session or double-session depending on dialogue density.,See assessment/review bundle for scaffolded keys.
21,What We Have in the Field,A1,Teach the core communicative objective of Unit 21.,Single-session or double-session depending on dialogue density.,See assessment/review bundle for scaffolded keys.
22,Our Cornfield and Our Food,A1,Teach the core communicative objective of Unit 22.,Single-session or double-session depending on dialogue density.,See assessment/review bundle for scaffolded keys.
23,What is Inside the House,A1,Teach the core communicative objective of Unit 23.,Single-session or double-session depending on dialogue density.,See assessment/review bundle for scaffolded keys.
24,I Had Gone to the City Part 1,A2,Teach the core communicative objective of Unit 24.,Single-session or double-session depending on dialogue density.,See assessment/review bundle for scaffolded keys.
25,I Had Gone to the City Part 2,A2,Teach the core communicative objective of Unit 25.,Single-session or double-session depending on dialogue density.,See assessment/review bundle for scaffolded keys.
26,I Came to Buy a Tortilla Napkin,B1,Teach the core communicative objective of Unit 26.,Single-session or double-session depending on dialogue density.,See assessment/review bundle for scaffolded keys.
27,It’s market day today!,B1,Teach the core communicative objective of Unit 27.,Single-session or double-session depending on dialogue density.,See assessment/review bundle for scaffolded keys.
28,I Was Passing By Your House,B1,Teach the core communicative objective of Unit 28.,Single-session or double-session depending on dialogue density.,See assessment/review bundle for scaffolded keys.
29,What Illnesses Do You Know?,B1,Teach the core communicative objective of Unit 29.,Single-session or double-session depending on dialogue density.,See assessment/review bundle for scaffolded keys.
30,"The conditional, Part 1",A1,Teach the core communicative objective of Unit 30.,Single-session or double-session depending on dialogue density.,See assessment/review bundle for scaffolded keys.
31,"Tlacotōntli huan tlaochpanāliztli: Cleansing ceremonies, the conditional. Part 2)",A1,Teach the core communicative objective of Unit 31.,Single-session or double-session depending on dialogue density.,See assessment/review bundle for scaffolded keys.
32,"Tē- and tla-: Non-specific object markers, Part 1",A1,Teach the core communicative objective of Unit 32.,Single-session or double-session depending on dialogue density.,See assessment/review bundle for scaffolded keys.
