lesson_number,target_band,primer_tier,theme_en,english_lesson_title,spanish_lesson_title
1,A1,core_a1,The Alphabet,Tlamachtiliztli 1 Piltlahcuiloltzitzin (The Alphabet),Tlamachtiliztli 1 Piltlahcuiloltzitzin (El alfabeto).
2,A1,core_a1,Questions,Tlamachtiliztli 2 Tlahtlaniliztli (Questions).,Tlamachtiliztli 2 Tlahtlaniliztli (Preguntas)
3,A1,core_a1,What is your name?,Tlamachtiliztli 3 ¿Quēniuhqui motōcah? (What is your name?),Tlamachtiliztli 3 ¿Quēniuhqui motōcah? (¿Cómo te llamas?)
4,A2,core_a2,Colors and Numbers,Tlamachtiliztli 4 Īxnēzcayotl huan tlapōhualiztli (Colors and Numbers),Tlamachtiliztli 4 Īxnēzcayōtl huan tlapōhualiztli (Los colores y los números)
5,A2,core_a2,The Professions,Tlamachtiliztli 5 Cehcen inintequiuh (The Professions),Tlamachtiliztli 5 Cehcen inin tequiuh (Las profesiones)
6,B1,bridge_b1,Intransitive Verbs,Tlamachtiliztli 6 Tlachīhualiztli tlen ax quimānēxtia cē tlamantli (Intransitive Verbs),Tlamachtiliztli 6 Tlachīhualiztli tlen ax quimānēxtia cē tlamantli (Los verbos intransitivos)
7,B1,bridge_b1,How to divide up the day,Tlamachtiliztli 7 Quēn moxēloa tōnatiuh (How to divide up the day),Tlamachtiliztli 7 Quēn moxeloa tōnatiuh (Cómo se divide el día)
8,B1,bridge_b1,Possessive markers,Tlamachtiliztli 8 Noyōllo (Possessive markers),Tlamachtiliztli 8 Noyōllo (Marcadores posesivos)
9,B1,bridge_b1,The Family,Tlamachtiliztli 9 Tēiīxmatcacuahuitl (The Family),Tlamachtiliztli 9 Tēīxmatcacuahuitl (La familia)
11,A1,core_a1,When you greet and say farewell,Tlamachtiliztli 11 Quēmman motlahpaloa huan monāhuatihtēhua (When you greet and say farewell),Tlamachtiliztli 11 Quēmman motlahpaloa huan monāhuatihtēhua (Cuando se saluda y se despide)
12,A1,core_a1,Future tense and indefinite verbs,Tlamachtiliztli 12 Tlachīhualiztli tlen panoz (Future tense and indefinite verbs),Tlamachtiliztli 12 Tlachīhualiztli tlen panoz (Verbos en tiempo futuro e indefinido)
13,A1,core_a1,Verbs with specific object,Tlamachtiliztli 13 Tlachīhualiztli tlen quimānēxtia ācquiya quīchihua cē tlamantli (Verbs with specific object),Tlamachtiliztli 13 Tlachīhualiztli tlen quimanēxtia ācquiya quichīhua cē tlamantli (Verbos con objetos específicos)
14,A2,core_a2,Past Tense Verbs Part 1,Tlamachtiliztli 14 Tlachīhualiztli tlen panoc Part 1 (Past Tense Verbs Part 1),Tlamachtiliztli 14 Tlachīhualiztli tlen panoc. Parte 1 (Verbos en tiempo pretérito Parte 1)
15,A2,core_a2,Past Tense Verbs Part 2,"Tlamachtiliztli 15 Tlachīhualiztli tlen panoc, Part 2 (Past Tense Verbs Part 2)",Tlamachtiliztli 15 Tlachīhualiztli tlen panoc. Parte 2 (Verbos en tiempo pretérito Parte 2)
20,A1,core_a1,The Grammar of -pil and -tzin,Tlamachtiliztli 20 Tlahtoltēcpānalitzli -pil huan -tzin (The Grammar of -pil and -tzin),Tlamachtiliztli 20 Tlahtoltēcpanalitzli -pil huan -tzin (La gramática del -pil y -tzin)
21,A1,core_a1,What We Have in the Field,Tlamachtiliztli 21 Tlen ticpiyah pan millah (What We Have in the Field),Tlamachtiliztli 21 Tlen ticpiyah pan mīllah (Lo que tenemos en la milpa)
22,A1,core_a1,Our Cornfield and Our Food,Tlamachtiliztli 22 Tomīllah huah totlacualiz (Our Cornfield and Our Food),Tlamachtiliztli 22 Tomillāh huah totlacualiz (Nuestra milpa y nuestra comida)
23,A1,core_a1,What is Inside the House,Tlamachtiliztli 23 Tlen eltoc calihtic (What is Inside the House),Tlamachtiliztli 23 Tlen eltoc calihtic (Que hay dentro de la casa)
24,A2,core_a2,I Had Gone to the City Part 1,"Tlamachtiliztli 24 Niihhuia pan āltepētl, Part 1 (I Had Gone to the City Part 1)",Tlamachtiliztli 24 Niihhuia pan āltepētl Part 1 (Yo había ido a la ciudad Part 1)
25,A2,core_a2,I Had Gone to the City Part 2,Tlamachtiliztli 25 Niihhuia pan altepētl Part 2 (I Had Gone to the City Part 2),Tlamachtiliztli 25 Niihhuia pan āltepētl Parte 2 (Yo había ido a la ciudad Parte 2)
30,A1,core_a1,"The conditional, Part 1","Tlamachtiliztli 30 -zquia, -tozquia (The conditional, Part 1)",Tlamachtiliztli 30 Los sufijos -zquia y -tozquia (El modo condicional Parte 1)
31,A1,core_a1,"Tlacotōntli huan tlaochpanāliztli: Cleansing ceremonies, the conditional. Part 2)","Tlamachtiliztli 31 Tlacotōntli huan tlaochpanāliztli: Cleansing ceremonies, the conditional. Part 2)",Tlamachtiliztli 31 Tlacotōntli huan Tlaochpānaliztli (Las ceremonias de limpia. El condicional Parte 2)
32,A1,core_a1,"Tē- and tla-: Non-specific object markers, Part 1","Tlamachtiliztli 32 Tē- and tla-: Non-specific object markers, Part 1",Tlamachtiliztli 32 Tē- y tla- (Objetos no específicos. Parte 1)
