lesson_number,lesson_title,lesson_order,proficiency_band,lesson_unit_id
1,Tlamachtiliztli 1 Piltlahcuiloltzitzin (El alfabeto).,51,A1,FCN-LSN-0051
2,Tlamachtiliztli 2 Tlahtlaniliztli (Preguntas),52,A1,FCN-LSN-0052
3,Tlamachtiliztli 3 ¿Quēniuhqui motōcah? (¿Cómo te llamas?),53,A1,FCN-LSN-0053
4,Tlamachtiliztli 4 Īxnēzcayōtl huan tlapōhualiztli (Los colores y los números),54,A2,FCN-LSN-0054
5,Tlamachtiliztli 5 Cehcen inin tequiuh (Las profesiones),55,A2,FCN-LSN-0055
6,Tlamachtiliztli 6 Tlachīhualiztli tlen ax quimānēxtia cē tlamantli (Los verbos intransitivos),57,B1,FCN-LSN-0057
7,Tlamachtiliztli 7 Quēn moxeloa tōnatiuh (Cómo se divide el día),58,B1,FCN-LSN-0058
8,Tlamachtiliztli 8 Noyōllo (Marcadores posesivos),59,B1,FCN-LSN-0059
9,Tlamachtiliztli 9 Tēīxmatcacuahuitl (La familia),60,B1,FCN-LSN-0060
10,Tlamachtiliztli 10 Notlachiyaliz (Mi apariencia),61,B1,FCN-LSN-0061
11,Tlamachtiliztli 11 Quēmman motlahpaloa huan monāhuatihtēhua (Cuando se saluda y se despide),62,A1,FCN-LSN-0062
12,Tlamachtiliztli 12 Tlachīhualiztli tlen panoz (Verbos en tiempo futuro e indefinido),63,A1,FCN-LSN-0063
13,Tlamachtiliztli 13 Tlachīhualiztli tlen quimanēxtia ācquiya quichīhua cē tlamantli (Verbos con objetos específicos),64,A1,FCN-LSN-0064
14,Tlamachtiliztli 14 Tlachīhualiztli tlen panoc. Parte 1 (Verbos en tiempo pretérito Parte 1),65,A2,FCN-LSN-0065
15,Tlamachtiliztli 15 Tlachīhualiztli tlen panoc. Parte 2 (Verbos en tiempo pretérito Parte 2),66,A2,FCN-LSN-0066
16,Tlamachtiliztli 16 Tlachīhualiztli tlen panoc. Parte 3 (Verbos en tiempo pretérito Parte 3),67,B1,FCN-LSN-0067
17,Tlamachtiliztli 17 Na nimocēhuia pan cuaciyah (Yo me siento en la silla),68,B1,FCN-LSN-0068
18,Tlamachtiliztli 18 Tlen nicāmati huan tlen ax nicāmati (Que me gusta y no me gusta hacer),69,B1,FCN-LSN-0069
19,Tlamachtiliztli 19 Ximoquētza (¡Levántate!),70,B1,FCN-LSN-0070
20,Tlamachtiliztli 20 Tlahtoltēcpanalitzli -pil huan -tzin (La gramática del -pil y -tzin),71,A1,FCN-LSN-0071
21,Tlamachtiliztli 21 Tlen ticpiyah pan mīllah (Lo que tenemos en la milpa),72,A1,FCN-LSN-0072
22,Tlamachtiliztli 22 Tomillāh huah totlacualiz (Nuestra milpa y nuestra comida),73,A1,FCN-LSN-0073
23,Tlamachtiliztli 23 Tlen eltoc calihtic (Que hay dentro de la casa),74,A1,FCN-LSN-0074
24,Tlamachtiliztli 24 Niihhuia pan āltepētl Part 1 (Yo había ido a la ciudad Part 1),75,A2,FCN-LSN-0075
25,Tlamachtiliztli 25 Niihhuia pan āltepētl Parte 2 (Yo había ido a la ciudad Parte 2),76,A2,FCN-LSN-0076
26,Tlamachtiliztli 26 Niquicōhuaco cē tlaxcalyoyomitl (Yo vine a comprar una servilleta de tortillas),77,B1,FCN-LSN-0077
27,Tlamachtiliztli 27 Namantzin eltoc tiānquiz (Ahorita hay mercado),78,B1,FCN-LSN-0078
28,Tlamachtiliztli 28 Nipanoyaya mochān (Yo pasaba por tu casa),79,B1,FCN-LSN-0079
29,Tlamachtiliztli 29 ¿Tlen cocōliztli tiquixmati? (¿Cuáles enfermedades conoces?),80,B1,FCN-LSN-0080
30,Tlamachtiliztli 30 Los sufijos -zquia y -tozquia (El modo condicional Parte 1),81,A1,FCN-LSN-0081
31,Tlamachtiliztli 31 Tlacotōntli huan Tlaochpānaliztli (Las ceremonias de limpia. El condicional Parte 2),82,A1,FCN-LSN-0082
32,Tlamachtiliztli 32 Tē- y tla- (Objetos no específicos. Parte 1),83,A1,FCN-LSN-0083
