upos,feature_name,feature_value,count
VERB,VerbForm,Fin,3353
VERB,Mood,Ind,3151
VERB,Tense,Pres,1830
VERB,Person[subj],3,1391
VERB,Number[subj],Sing,1260
VERB,Subcat,Tran,1137
NOUN,Case,Abs,1086
NOUN,Number,Sing,1076
VERB,Person[obj],3,844
VERB,Number[obj],Sing,798
VERB,Tense,Past,769
VERB,Aspect,Perf,604
VERB,Subcat,Intr,480
NOUN,Foreign,Yes,467
NOUN,Number[psor],Sing,439
NOUN,Person[psor],3,433
NOUN,Number,Plur,429
PRON,PronType,Prs,378
NOUN,Gender,Masc,364
VERB,Number[subj],Plur,348
PRON,Number,Sing,325
ADJ,Person[subj],3,294
ADJ,Number[subj],Sing,289
VERB,Tense,Fut,263
NOUN,NounType,Relat,251
NOUN,Gender,Fem,243
ADP,Foreign,Yes,213
VERB,Aspect,Imp,191
PRON,Person,1,182
ADV,Polarity,Neg,174
VERB,Person[subj],1,174
PRON,Person,3,160
VERB,Aspect,Prog,145
ADJ,Number,Sing,119
NOUN,Degree,Dim,118
ADV,Foreign,Yes,115
VERB,Reflex,Yes,101
ADV,PronType,Rel,63
PRON,Number,Plur,60
VERB,Mood,Imp,59
ADJ,Degree,Dim,57
VERB,Mood,Opt,48
VERB,Polite,Form,48
NOUN,Person[subj],3,46
SCONJ,Foreign,Yes,45
NOUN,Number[subj],Sing,44
VERB,Person[subj],2,43
PROPN,Gender,Masc,40
ADJ,Number,Plur,34
ADJ,Foreign,Yes,33
PRON,Person,2,33
ADJ,Gender,Masc,31
AUX,Tense,Fut,30
ADV,ExtPos,ADV,27
VERB,Number[obj],Plur,26
NOUN,Person[psor],1,23
AUX,Tense,Past,22
AUX,Person[subj],3,21
DET,ExtPos,ADV,21
PROPN,Gender,Fem,21
VERB,Mood,Cnd,21
AUX,Aspect,Imp,20
NOUN,Number[psor],Plur,20
AUX,Number[subj],Sing,19
VERB,Animacy[obj],Nhum,19
AUX,Tense,Pres,18
CCONJ,Foreign,Yes,18
PROPN,Degree,Dim,15
VERB,Animacy[obj],Hum,15
PRON,Case,Abs,13
PROPN,Foreign,Yes,13
DET,Foreign,Yes,12
DET,Number,Plur,12
VERB,Mood,Prp,12
VERB,Foreign,Yes,11
VERB,Person[obj],1,11
PROPN,Number,Plur,10
ADJ,Gender,Fem,9
ADJ,Gender,"Fem,Masc",9
ADP,ExtPos,ADV,9
NUM,Foreign,Yes,9
ADP,ExtPos,SCONJ,8
DET,Typo,Yes,8
INTJ,Foreign,Yes,8
ADV,Degree,Dim,7
PRON,Foreign,Yes,7
VERB,Movement,Ven,7
PRON,Degree,Dim,6
PROPN,Number[subj],Sing,6
PROPN,Person[subj],1,6
ADJ,Number[subj],Plur,5
NOUN,Polite,Form,5
PRON,Polite,Form,5
VERB,Typo,Yes,5
AUX,Mood,Cnd,4
NOUN,Person[psor],2,4
NUM,Number,Plur,4
PROPN,Number,Sing,4
VERB,Person[obj],2,4
VERB,VerbForm,Inf,4
ADV,Typo,Yes,3
AUX,Number[subj],Plur,3
DET,Gender,Fem,3
DET,Number,Sing,3
INTJ,ExtPos,INTJ,3
NOUN,Number[subj],Plur,3
VERB,Tense,Pqp,3
ADV,Number[subj],Sing,2
ADV,Person[subj],3,2
AUX,Mood,Opt,2
VERB,Voice,Act,2
ADJ,ExtPos,CCONJ,1
ADP,ExtPos,CCONJ,1
ADV,ExtPos,PRON,1
AUX,Aspect,Prog,1
AUX,Foreign,Yes,1
AUX,Person[subj],1,1
AUX,Subcat,Intr,1
CCONJ,ExtPos,ADP,1
CCONJ,ExtPos,INTJ,1
NOUN,Person[subj],1,1
NUM,Degree,Dim,1
NUM,Typo,Yes,1
PRON,Case,Acc,1
PRON,ExtPos,PRON,1
PRON,Gender,Masc,1
PRON,Number[subj],Plur,1
PRON,Person[subj],1,1
VERB,Mood,Sub,1
